Date,text,Tickers,Sentiment,label,Pct_Change
2010-07-29,Goldman Sachs Predicts Stimulus Unwinding to Impact GDP in 2011,"[""['GS']""]",{'GS': 1},positive,{'GS': 0.03654886047994932}
2010-03-16,10-Year Treasury Yields Drop to Two-Week Low Post-Fed Announcement,"[""['^TNX']""]",{'^TNX': -1},negative,{'^TNX': -0.013768866060896334}
2011-12-23,U.S. Congress Passes Two-Month Payroll Tax Cut Extension,"[""['^GSPC']""]",{'^GSPC': 1},positive,{'^GSPC': 0.009035052675189448}
2011-05-17,JPMorgan Chase & Co. Sees Increase in Lending and Potential Profit Growth,"[""['JPM']""]",{'JPM': 1},positive,{'JPM': 0.021689128015454306}
2010-07-12,Oil Prices Decline as Dollar Index Advances,"[""['CL=F', 'DX-Y.NYB']""]","{'CL=F': -1, 'DX-Y.NYB': 1}",neutral,"{'CL=F': -0.014982250552176057, 'DX-Y.NYB': 0.002977963181512999}"
2010-10-19,Dollar Strengthens as China Hikes Interest Rates,"[""['DXY', '000001.SS']""]",{'000001.SS': 1},positive,{'000001.SS': 0.01577745999251534}
2011-06-17,"Consumer Confidence Drops in June, According to Thomson Reuters/ University of Michigan Index","[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': 0.003045016966140013}
2011-03-08,Euro Slides Amid Concerns Over Europe's Debt Crisis,"[""['EZU']""]",{'EZU': 0},neutral,{'EZU': 0.0020987185763636784}
2010-08-24, Yen and Swiss Franc Appreciate; Pound Weakens,"[""['^N225', '^SSMI', '^FTSE']""]","{'^N225': -1, '^SSMI': -1, '^FTSE': -1}",negative,"{'^N225': -0.013332774891004706, '^SSMI': -0.010517848849653788, '^FTSE': -0.01505306938709261}"
2011-05-23, European Central Bank to Accept Greek Government Bonds as Collateral,"[""['^STOXX50E']""]",{'^STOXX50E': -1},negative,{'^STOXX50E': -0.020925154034653115}
2010-05-27, Yen and Dollar Weaken as Investors Seek Higher Yields,"[""['FXY', 'UUP']""]","{'FXY': -1, 'UUP': -1}",negative,"{'FXY': -0.011164525260796254, 'UUP': -0.010600664387538927}"
2010-06-01,"BP Plc's Efforts Fail to Stop Largest U.S. Oil Spill, Shares Drop","[""['BP']""]",{'BP': -1},negative,{'BP': -0.1497087901803521}
2010-10-22," MSCI Emerging Markets Index Declines, Ending Weekly Growth Streak","[""['EEM']""]",{'EEM': 0},neutral,{'EEM': 0.0010875216529997456}
2010-11-12, New European Crisis-Resolution Mechanism to Have No Impact on Current Arrangements,"[""['VGK']""]",{'VGK': 0},neutral,{'VGK': -0.003901214851993351}
2011-05-12,Goldman Sachs Group Inc. Declines Most Since January,"[""['GS']""]",{'GS': -1},negative,{'GS': -0.03469021770570202}
2011-11-16,U.S. Stocks Drop as Fitch Warns of Debt Contagion,"[""['^GSPC', 'FITCH']""]",{'^GSPC': -1},negative,{'^GSPC': -0.016616200730203312}
2010-03-03, MSCI Emerging Markets Index Reaches Highest Close Since January,"[""['EEM']""]",{'EEM': 0},neutral,{'EEM': 0.001247863979533692}
2010-06-29,"U.S. Consumer Confidence Drops, Misses Economists' Projections","[""['^GSPC']""]",{'^GSPC': -1},negative,{'^GSPC': -0.03101701864061035}
2011-01-20,"U.S. Home Sales Exceed Expectations, Impacting Treasury Prices","[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': -0.0012949592195925508}
2011-03-14," Japanese Refinery Shutdowns Reduce Demand, Impacting Crude Oil Prices","[""['EWJ']""]",{'EWJ': -1},negative,{'EWJ': -0.07030540622642845}
2011-10-28,"Most U.S. Stocks Retreat as Euro Falls, Copper Posts Weekly Gain","[""['^GSPC', 'FXE', 'JJC']""]","{'^GSPC': 0, 'FXE': 0}",neutral,"{'^GSPC': 0.0003892292585989665, 'FXE': -0.0021224479922488104}"
2011-03-08,Bank of America's Mortgage Business Shows Signs of Recovery,"[""['BAC']""]",{'BAC': 1},positive,{'BAC': 0.04704192733039925}
2011-04-20,STMicroelectronics NV and ASML Holding NV Stocks Climb,"[""['STM', 'ASML']""]","{'STM': 1, 'ASML': 1}",positive,"{'STM': 0.05263146007391306, 'ASML': 0.08853497997169124}"
2011-12-16, French and Belgian Bonds Advance Amid Euro Zone Crisis,"[""['EWQ', 'EWK']""]","{'EWQ': 0, 'EWK': 0}",neutral,"{'EWQ': -0.004815385390261717, 'EWK': 0.003835093936993328}"
2010-07-21,Oil Prices Decline on Surprise Inventory Increase,"[""['CL=F']""]",{'CL=F': -1},negative,{'CL=F': -0.011363699058226984}
2010-04-22,Portugal and Spain's Bond Yields Escalate,"[""['PGAL', 'EWP']""]",{'EWP': -1},negative,{'EWP': -0.01860140923626008}
2010-06-18, Copper Prices Dip on Concerns Over U.S. Economic Recovery,"[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': 0.0013171307943036226}
2011-01-20,"Silver, Copper, and Oil Prices Drop Sharply","[""['SLV', 'JJC', 'USO']""]","{'SLV': -1, 'USO': -1}",negative,"{'SLV': -0.04380340262030846, 'USO': -0.025168687017657065}"
2011-08-04, Swiss Franc Rallies to Record After U.S. Markets Close,"[""['CHF=X', '^GSPC']""]","{'CHF=X': 1, '^GSPC': -1}",neutral,"{'CHF=X': 0.007110177366470349, '^GSPC': -0.047820446201610634}"
2010-05-12," MSCI Emerging Markets Index Rallies, Led by Russian Equity Gains","[""['EEM']""]",{'EEM': 1},positive,{'EEM': 0.012437808570334052}
2011-08-03, Former Fed Officials Advocate for Third Round of Bond Purchases,"[""['^GSPC']""]",{'^GSPC': 1},positive,{'^GSPC': 0.005015682586245518}
2010-03-09,"Oil Prices Decline, Following Commodities Downward Trend","[""['CL=F']""]",{'CL=F': 0},neutral,{'CL=F': -0.004641564310053248}
2011-05-13, Dollar Strengthens Versus All 16 Major Counterparts,"[""['UUP']""]",{'UUP': 1},positive,{'UUP': 0.006963831445087276}
2010-12-10, Copper Futures Hit Record High as China's Imports Rebound,"[""['^SSEC', 'HG=F']""]",{'HG=F': 0},neutral,{'HG=F': 0.005757678637812402}
2011-08-12, Developing-Nation Equity Mutual Funds See Third-Biggest Outflows on Record.,"[""['ACWI']""]",{'ACWI': 1},positive,{'ACWI': 0.008500495309898382}
2010-01-26,U.S. Treasury Yields Near Yearly Low After $44 Billion Auction,"[""['^GSPC']""]",{'^GSPC': -1},negative,{'^GSPC': -0.004203199573680982}
2011-03-07, MSCI Emerging Markets Index Rises 1 Percent,"[""['EEM']""]",{'EEM': -1},negative,{'EEM': -0.01407224511666183}
2010-09-13," Warren Buffett Dismisses Double-Dip Recession Concerns, Sees Business Growth","[""['BRK-A']""]",{'BRK-A': 1},positive,{'BRK-A': 0.00825153052582328}
2010-05-12, Spain Announces Public-Sector Wage Cuts and Budget Freeze for 2011,"[""['EWP']""]",{'EWP': 1},positive,{'EWP': 0.009502354350722886}
2011-08-04," Swiss Market Index Enters Bear Market, MSCI Emerging Markets Index Sinks 3 Percent","[""['^SSMI', 'EFA']""]","{'^SSMI': -1, 'EFA': -1}",negative,"{'^SSMI': -0.036092374979418085, 'EFA': -0.06975498812369707}"
2010-02-08, Crude Oil and Gold Prices Advance,"[""['CL=F', 'GC=F']""]","{'CL=F': 1, 'GC=F': 1}",positive,"{'CL=F': 0.009832798486252736, 'GC=F': 0.012830261002164667}"
2011-10-20,EBay Inc. Forecasts Sales and Profit Below Analyst Estimates,"[""['EBAY']""]",{'EBAY': -1},negative,{'EBAY': -0.031042887476405157}
2010-09-16,S&P 500 Valuation Nears Lowest Since March 2009,"[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': -0.00036434366656679096}
2011-10-11, Goldman Sachs Group May Report Lowest Quarterly Profit Since 2008 Financial Crisis,"[""['GS']""]",{'GS': 1},positive,{'GS': 0.005824849837043233}
2011-06-02,U.S. Treasuries and Dollar Fall as Moody's Raises Concern on U.S. Debt,"[""['^TNX', 'DXY']""]",{'^TNX': 1},positive,{'^TNX': 0.021577845432419362}
2011-06-01, Franc Strengthens Against All Major Counterparts as Retail Sales Rise,"[""['EWL']""]",{'EWL': -1},negative,{'EWL': -0.011635857448414}
2011-08-01,"Treasuries Rally, Dollar Gains Amid Economic Concerns","[""['TLT', 'UUP']""]","{'TLT': 1, 'UUP': 1}",positive,"{'TLT': 0.014344460727808928, 'UUP': 0.005230479834096746}"
2010-06-01, European Banks Face Increased Credit Risk Amidst Government Debt Concerns,"[""['EUFN']""]",{'EUFN': -1},negative,{'EUFN': -0.006951762438295428}
2010-05-21, Copper Prices Surge on Stronger Demand from China,"[""['HG=F']""]",{'HG=F': 1},positive,{'HG=F': 0.03951632742949185}
2010-11-26, Spanish Banks Drop; IBEX 35 Index Down 1.8 Percent,"[""['^IBEX']""]",{'^IBEX': -1},negative,{'^IBEX': -0.017959615325310763}
2011-08-23,Oil Jumps as Dollar Falls Amidst Market Optimism,"[""['CL=F', 'DX-Y.NYB']""]","{'CL=F': 1, 'DX-Y.NYB': 0}",positive,"{'CL=F': 0.01569186461870209, 'DX-Y.NYB': -0.0027001073182961743}"
2011-04-29,"European Economic Confidence Declines, Inflation Accelerates","[""['ACWI', 'EFA']""]","{'ACWI': 0, 'EFA': 0}",neutral,"{'ACWI': 0.0029680252754269443, 'EFA': -0.004704995100953346}"
2010-05-04,"Spanish Prime Minister Dismisses Bailout Speculation as ""Complete Madness""","[""['EWP']""]",{'EWP': -1},negative,{'EWP': -0.07205793841005603}
2010-05-11,IMF's Marek Belka Questions Longevity of EU Bailout Package,"[""['EFA']""]",{'EFA': -1},negative,{'EFA': -0.01622131690028117}
2011-04-19,Crude Oil Rallies as Weaker Dollar Lifts Commodities,"[""['CL=F', 'UUP']""]","{'CL=F': 1, 'UUP': -1}",neutral,"{'CL=F': 0.009615372973184044, 'UUP': -0.0060017991039375}"
2010-03-22,Commodities Market Sees Recovery,"[""['DBC']""]",{'DBC': 0},neutral,{'DBC': 0.0}
2010-12-27,Trading Volume Hits 12-Year Low on NYSE,"[""['^NYA']""]",{'^NYA': 0},neutral,{'^NYA': -0.0005576935244894221}
2011-09-07, Australian Dollar Appreciates After Economy Grows at Fastest Pace in Four Years,"[""['EWA']""]",{'EWA': 1},positive,{'EWA': 0.03879723883253794}
2011-08-23,Financial Stocks in S&P 500 Rally After FDIC's List of Problem Banks Falls,"[""['SPY', 'XLF']""]","{'SPY': 1, 'XLF': 1}",positive,"{'SPY': 0.03291040098960574, 'XLF': 0.03255432695374516}"
2010-03-17,Financials and Energy Sectors Lead Stock Market Rally,"[""['XLF', 'XLE']""]","{'XLF': 1, 'XLE': 1}",positive,"{'XLF': 0.012078387662777468, 'XLE': 0.01095511306297725}"
2010-03-23,Over 60% of MSCI World Index Companies Beat Earnings Estimates,"[""['ACWI']""]",{'ACWI': 1},positive,{'ACWI': 0.006478617552227561}
2011-01-25, Euro Fluctuates Amid European Financial Stability Facility Bond Sale,"[""['VGK']""]",{'VGK': 0},neutral,{'VGK': -0.002160033606016798}
2010-07-16,"Citigroup Revenue Trails Estimates, Shares Decline","[""['C']""]",{'C': -1},negative,{'C': -0.06250008052736622}
2010-07-07,Dollar Retreats as Treasury Yields Hit All-Time Lows,"[""['UUP', '^TNX']""]","{'UUP': -1, '^TNX': 1}",neutral,"{'UUP': -0.003266638263213162, '^TNX': 0.016371111376201286}"
2011-03-15,"U.S. Stocks Pare Drop After Tokyo Plunge; Oil Falls, Bonds Gain","[""['^GSPC', '^N225', 'CL=F']""]","{'^GSPC': -1, '^N225': -1, 'CL=F': -1}",negative,"{'^GSPC': -0.01120034817237281, '^N225': -0.10553930402861245, 'CL=F': -0.039628441935777636}"
2011-02-17," S&P 500 Trades at 17.8 Times the Reported Earnings of its Companies, Near Highest Level Since 2010","[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': 0.003075691142146564}
2010-09-22, Crude Oil Prices Dip Following Unexpected Inventory Increase,"[""['CL=F']""]",{'CL=F': 1},positive,{'CL=F': 0.01618610576362811}
2011-09-07,Obama's Economic Stimulus Plan Expected to Boost Growth,"[""['SPY']""]",{'SPY': 1},positive,{'SPY': 0.028207724243975774}
2011-12-02,"U.S. Stocks Erase Gain as Treasuries, Dollar Rise; Oil Rallies","[""['SPY', 'TLT', 'UUP']""]","{'SPY': 0, 'TLT': 1, 'UUP': 1}",positive,"{'SPY': -0.0008803991891931373, 'TLT': 0.01401679342866835, 'UUP': 0.0031747360813731973}"
2011-02-09,"Corn, Wheat, and Soybeans Hit Highest Prices Since 2008","[""['CORN', 'WEAT', 'SOYB']""]",{'CORN': 1},positive,{'CORN': 0.025757166909061713}
2011-10-07, MSCI Emerging Markets Index Climbs 2.1 Percent,"[""['EEM']""]",{'EEM': -1},negative,{'EEM': -0.011930590775254934}
2010-09-16,Oil Prices Dip Below $75 a Barrel,"[""['CL=F']""]",{'CL=F': -1},negative,{'CL=F': -0.019073888611838563}
2010-09-09,Federal Reserve Reports U.S. Economic Expansion with Signs of Deceleration,"[""['SPY']""]",{'SPY': 1},positive,{'SPY': 0.0046191535674708906}
2011-11-01, Nasdaq OMX Group Inc. and NYSE Euronext Lose After Lawmakers Propose Transaction Tax,"[""['NDAQ', 'NYX']""]",{'NDAQ': -1},negative,{'NDAQ': -0.027544941291377523}
2011-07-06, Cost of Credit-Default Swaps Insuring European Government Debt Rises to All-Time High,"[""['VGK']""]",{'VGK': -1},negative,{'VGK': -0.01043219060807088}
2010-11-18, Bloomberg Dollar Spot Index Falls; Euro and Yen Strengthen,"[""['BBDXY', 'FXE']""]",{'FXE': 1},positive,{'FXE': 0.00839214047392467}
2010-05-31,nish Government Bonds Decline Following Fitch Ratings Downgrade,"[""['EWI']""]",{'EWI': -1},negative,{'EWI': -0.031207673909834366}
2010-11-04,"S&P 500 Reaches Highest Level Since September 2008, Led by Bank Shares","[""['^GSPC']""]",{'^GSPC': 1},positive,{'^GSPC': 0.01928286287479275}
2011-08-25,DAX Index Slumps 1.7 Percent After 15-Minute Plunge,"[""['^GDAXI']""]",{'^GDAXI': -1},negative,{'^GDAXI': -0.017063646361810236}
2010-09-07,"German Factory Orders Unexpectedly Drop, Signaling Economic Slowdown","[""['EWG']""]",{'EWG': -1},negative,{'EWG': -0.020507776112621}
2011-06-03,EU and IMF Agree to Pay Next Installment to Greece,"[""['EZU', 'IMF']""]",{'EZU': 1},positive,{'EZU': 0.008439760734062496}
2011-08-30," Stoxx 600 Increases, Extending Previous Day's 1.2% Advance","[""['^STOXX']""]",{'^STOXX': 1},positive,{'^STOXX': 0.010338183909985199}
2010-12-07, Copper Prices Hit Record Highs in London and New York Markets,"[""['^FTSE']""]",{'^FTSE': 1},positive,{'^FTSE': 0.006620140478917236}
2010-06-15," Commodity Prices Firm, Easing Fears of Economic Slowdown","[""['ACWI']""]",{'ACWI': 1},positive,{'ACWI': 0.026156968524500668}
2010-10-19, Treasury Secretary Geithner Affirms Commitment to Strong Dollar Policy,"[""['^GSPC']""]",{'^GSPC': -1},negative,{'^GSPC': -0.015877250249970554}
2011-05-11, Dollar Strengthens Against Six Major Currencies,"[""['UUP']""]",{'UUP': 1},positive,{'UUP': 0.009354533505589568}
2011-04-20, Dollar Index Tumbles to Lowest Level Since November 2009,"[""['UUP']""]",{'UUP': -1},negative,{'UUP': -0.009753873560668036}
2011-06-24, Brent Oil Declines to Four-Month Low Following IEA Plan to Release Emergency Stockpiles,"[""['BZ=F']""]",{'BZ=F': -1},negative,{'BZ=F': -0.019951513584070546}
2011-07-15,S&P's Ratings Services Announces Potential Lowering of U.S. Credit Rating,"[""['SPY']""]",{'SPY': 1},positive,{'SPY': 0.005804769920879416}
2011-03-29,Schlumberger Ltd. Leads Energy Stocks Higher as Oil Prices Rise,"[""['SLB']""]",{'SLB': 1},positive,{'SLB': 0.04345917159803325}
2010-05-06, ECB President Jean-Claude Trichet Urges Decisive Government Action on Public Finances,"[""['EWG']""]",{'EWG': -1},negative,{'EWG': -0.03640878745818876}
2010-02-05,U.S. Jobless Rate Drops to Five-Month Low of 9.7 Percent,"[""['SPY']""]",{'SPY': 0},neutral,{'SPY': 0.002067393565272413}
2011-11-16,"Rambus Inc. Loses $3.95 Billion Jury Trial, Stock Plunges","[""['RMBS']""]",{'RMBS': -1},negative,{'RMBS': -0.6058758440863103}
2010-11-29, U.S. Jobs Report Anticipated to Show Employment Growth,"[""['SPY']""]",{'SPY': 0},neutral,{'SPY': 0.0030304123582591824}
2010-12-27, U.K. House Prices Fall for Sixth Consecutive Month,"[""['EWU']""]",{'EWU': 0},neutral,{'EWU': -0.005797097820130603}
2011-07-18, Franc-Denominated Home Loans Represent 53% of All Mortgages in Poland.,"[""['EWQ']""]",{'EWQ': -1},negative,{'EWQ': -0.02058591312867153}
2011-07-01, Treasury Yields to Conquer Peaks Not Seen Since 2006.,"[""['^TNX']""]",{'^TNX': 1},positive,{'^TNX': 0.012349599248415277}
2010-09-06, Chinese Yuan Strengthens Amid U.S.-China Economic Talks,"[""['CNY=X', 'SPY']""]","{'CNY=X': -1, 'SPY': 1}",neutral,"{'CNY=X': -0.00039727074576667576, 'SPY': 0.012971536414210227}"
2011-10-18,10-Year Treasury Yield Breaches 3% for First Time in Four Years,"[""['^TNX']""]",{'^TNX': 0},neutral,{'^TNX': -0.0018561246193462555}
2010-02-23, Asian Markets Rally with Thailand and Indonesia Leading Gains,"[""['THD', 'EIDO']""]",{'THD': 1},positive,{'THD': 0.007658337550719763}
2010-10-25, Shanghai Composite Index Reaches Six-Month High on Gree Electric and Luzhou Laojiao Earnings,"[""['000001.SS']""]",{'000001.SS': 1},positive,{'000001.SS': 0.025671898121219394}
2011-08-16, U.K. Pound Appreciates After Inflation Accelerates More Than Predicted.,"[""['EWU', 'ACWI']""]","{'EWU': -1, 'ACWI': -1}",negative,"{'EWU': -0.010284358351238532, 'ACWI': -0.015553528843110787}"
2010-10-29,"U.S. GDP Growth at 2% in Last Quarter, Below Jobless Rate Reduction Needs","[""['SPY']""]",{'SPY': 0},neutral,{'SPY': 0.0007599635421176032}
2011-01-26,Treasuries and Dollar Fall Post-Federal Reserve Stimulus Measures,"[""['^DJI', 'DX-Y.NYB']""]","{'^DJI': 0, 'DX-Y.NYB': 0}",neutral,"{'^DJI': 0.0006888092869885565, 'DX-Y.NYB': -0.0012820317195012532}"
2011-01-13, Low Interest Rates Diminish Impact of High Tech Valuations According to Lyxor Asset Management,"[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': -0.001710746243041017}
2010-03-04,Federal Reserve Reports Modest U.S. Economic Expansion in Early 2021,"[""['SPY']""]",{'SPY': 1},positive,{'SPY': 0.0030280530095605496}
2010-01-04,Oil Prices Surge Above $81 a Barrel Due to U.S. Cold Weather,"[""['CL=F']""]",{'CL=F': 1},positive,{'CL=F': 0.027091752889911946}
2011-12-07, Libor Climbs to Highest Level Since July 2009 Amid Euro Region's Debt Crisis,"[""['^FTSE']""]",{'^FTSE': 0},neutral,{'^FTSE': -0.003914790203125018}
2011-09-05, Shanghai Composite Index Slides 2 Percent.,"[""['000001.SS']""]",{'000001.SS': -1},negative,{'000001.SS': -0.019594750206043288}
2011-01-26," Dollar Index Hits Two-Month Low, Pound Strengthens on Bank of England Rate Hike Speculation","[""['DXY', 'GBPUSD=X']""]",{'GBPUSD=X': -1},negative,{'GBPUSD=X': -0.010409606692596274}
2011-10-24, S&P 500 Rebounds from 13-Month Low,"[""['SPY']""]",{'SPY': 1},positive,{'SPY': 0.012260803359628758}
2010-03-25,"Dollar Strengthens, Reaching Highest Level Since May","[""['UUP']""]",{'UUP': 1},positive,{'UUP': 0.0033264021013197365}
2011-11-07,10-Year Italian Bond Yields Reach Euro-Era Record of 6.68 Percent,"[""['EWI']""]",{'EWI': 1},positive,{'EWI': 0.018447269775647257}
2011-12-13, Crude Settles Up 2.4 Percent Amidst Iranian Military Drills,"[""['USO', 'ERUS']""]","{'USO': 1, 'ERUS': 0}",positive,"{'USO': 0.019271370687758305, 'ERUS': 0.000998201895298756}"
2010-10-28, South Korea's Kospi Index Falls After North Korean Missile Test,"[""['^KS11']""]",{'^KS11': 0},neutral,{'^KS11': -0.0008745791715016882}
2010-04-09,"S&P 500 Reaches 18-Month High, Dow Jones Tops 11,000","[""['^GSPC', '^DJI']""]","{'^GSPC': 1, '^DJI': 1}",positive,"{'^GSPC': 0.00668390656297202, '^DJI': 0.006431668769862675}"
2011-08-25, Crude Oil Rises as Hurricane Irene Threatens U.S. East Coast Refineries,"[""['CL=F']""]",{'CL=F': 0},neutral,{'CL=F': 0.0016439570646793467}
2010-12-31,"U.S. Unemployment Claims Decline, New-Home Sales Exceed Projections","[""['SPY']""]",{'SPY': 0},neutral,{'SPY': 0.0002385161196647445}
2011-08-08,"S&P Downgrades Debt Rankings on Fannie Mae, Freddie Mac and Other Government-Backed Lenders","[""['^GSPC', 'FNMA']""]","{'^GSPC': -1, 'FNMA': -1}",negative,"{'^GSPC': -0.06663446415643826, 'FNMA': -0.16666669978035686}"
2010-02-23," Heineken and Carlsberg Gain on Earnings, Commerzbank Falls on Loss","[""['HEINY', 'CABGY']""]","{'HEINY': 1, 'CABGY': 1}",positive,"{'HEINY': 0.02439017136791488, 'CABGY': 0.07526888612347005}"
2011-07-11, Turkish Lira Weakens 1.2 Percent Against Dollar After Current-Account Deficit Doubles.,"[""['TUR']""]",{'TUR': -1},negative,{'TUR': -0.02886202680137251}
2010-07-05,Nouriel Roubini Predicts Safe Haven in Bonds Amid Market Volatility,"[""['BND']""]",{'BND': 0},neutral,{'BND': -0.0006164368290244582}
2011-04-18,S&P 500 Plummets 93 Percent from Bear-Market Low in March 2009,"[""['^GSPC']""]",{'^GSPC': -1},negative,{'^GSPC': -0.011017851653977395}
2011-01-27, Hog Futures Reach 24-Year High on Asian Demand,"[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': 0.0022443057531671418}
2010-11-29,Irish Bond Yields Widen Against German Bunds Amid Default Concerns,"[""['EIRL', 'EWG']""]","{'EIRL': -1, 'EWG': -1}",negative,"{'EIRL': -0.006253572959732612, 'EWG': -0.021748340512394826}"
2010-01-04,Global Stocks and Commodities Rally on First Trading Day of 2010,"[""['ACWI']""]",{'ACWI': 1},positive,{'ACWI': 0.02057236532425244}
2010-04-13,"Alcoa Inc. Reports Lower-Than-Estimated Sales, Affecting Global Commodity Producers","[""['AA']""]",{'AA': -1},negative,{'AA': -0.015785875300587615}
2011-12-08," Financial Shares Tumble 3.7 Percent, Leading Industry Declines in S&P 500","[""['XLF']""]",{'XLF': -1},negative,{'XLF': -0.038980788857947535}
2011-11-10," Stoxx Europe 600 Index Slips, Erasing Earlier Gain","[""['^STOXX']""]",{'^STOXX': 0},neutral,{'^STOXX': -0.004188839171172853}
2010-11-25, Polish Zloty and Hungarian Forint Weaken Amid Fiscal Concerns,"[""['PLND', 'HUFUSD=X']""]",{'HUFUSD=X': 0},neutral,{'HUFUSD=X': -0.0021820032785148102}
2010-10-14,S&P 500 Falls from Five-Month Highs,"[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': -0.0036413861990395313}
2010-09-16, Swiss Franc Weakens as National Bank Holds Interest Rates Steady,"[""['EWL']""]",{'EWL': -1},negative,{'EWL': -0.01492536197575367}
